iter	Passed	Remaining
400	20049	79948
401	20092	79868
402	20133	79786
403	20177	79710
404	20218	79627
405	20261	79549
406	20353	79664
407	20405	79623
408	20449	79548
409	20490	79463
410	20525	79353
411	20562	79254
412	20599	79157
413	20642	79079
414	20691	79026
415	20749	79006
416	20818	79031
417	20892	79069
418	20942	79021
419	20986	78950
420	21034	78891
421	21074	78804
422	21117	78728
423	21163	78664
424	21194	78545
425	21233	78455
426	21256	78303
427	21278	78152
428	21306	78025
429	21385	78082
430	21428	78009
431	21476	77951
432	21519	77876
433	21558	77787
434	21606	77733
435	21640	77626
436	21665	77489
437	21704	77401
438	21738	77296
439	21789	77253
440	21852	77252
441	21921	77272
442	21974	77233
443	22013	77145
444	22060	77087
445	22106	77026
446	22147	76945
447	22188	76867
448	22236	76811
449	22275	76725
450	22318	76656
451	22354	76560
452	22423	76576
453	22466	76505
454	22505	76421
455	22552	76361
456	22600	76307
457	22652	76267
458	22701	76216
459	22742	76139
460	22780	76050
461	22824	75981
462	22880	75955
463	22960	76008
464	23060	76124
465	23127	76131
466	23169	76058
467	23211	75982
468	23252	75906
469	23293	75828
470	23334	75748
471	23373	75666
472	23441	75675
473	23489	75621
474	23530	75546
475	23595	75546
476	23653	75523
477	23695	75447
478	23731	75356
479	23770	75272
480	23832	75264
481	23887	75229
482	23951	75225
483	24022	75243
484	24078	75215
485	24124	75154
486	24172	75097
487	24211	75017
488	24258	74957
489	24297	74875
490	24342	74811
491	24388	74751
492	24425	74665
493	24498	74685
494	24540	74614
495	24581	74536
496	24629	74482
497	24673	74416
498	24715	74344
499	24760	74280
500	24806	74221
501	24850	74155
502	24891	74081
503	24968	74112
504	25065	74204
505	25131	74203
506	25173	74131
507	25217	74065
508	25261	73998
509	25302	73922
510	25334	73820
511	25380	73761
512	25422	73690
513	25459	73604
514	25530	73617
515	25565	73524
516	25600	73435
517	25637	73349
518	25670	73253
519	25708	73169
520	25746	73089
521	25783	73004
522	25826	72937
523	25862	72849
524	25899	72765
525	25944	72702
526	25994	72656
527	26060	72653
528	26134	72673
529	26181	72617
530	26224	72549
531	26267	72483
532	26313	72422
533	26359	72365
534	26400	72293
535	26442	72223
536	26484	72154
537	26525	72083
538	26650	72238
539	26693	72170
540	26737	72107
541	26778	72033
542	26821	71968
543	26863	71899
544	26904	71826
545	26946	71759
546	26996	71711
547	27056	71689
548	27127	71697
549	27186	71673
550	27234	71620
551	27284	71571
552	27323	71495
553	27358	71407
554	27395	71327
555	27448	71285
556	27492	71225
557	27532	71149
558	27619	71197
559	27669	71150
560	27711	71081
561	27745	70992
562	27784	70917
563	27817	70825
564	27853	70743
565	27902	70693
566	27949	70637
567	27990	70568
568	28025	70482
569	28063	70405
570	28153	70457
571	28226	70466
572	28287	70446
573	28332	70387
574	28375	70322
575	28421	70265
576	28461	70191
577	28503	70123
578	28548	70063
579	28592	70002
580	28635	69936
581	28713	69958
582	28752	69885
583	28791	69810
584	28840	69759
585	28883	69696
586	28925	69628
587	28966	69559
588	29006	69487
589	29050	69425
590	29087	69347
591	29152	69334
592	29221	69332
593	29283	69313
594	29322	69241
595	29365	69176
596	29410	69116
597	29456	69059
598	29491	68978
599	29529	68901
600	29566	68823
601	29610	68763
602	29652	68698
603	29722	68695
604	29779	68664
605	29842	68646
606	29882	68577
607	29928	68519
608	29970	68454
609	30009	68381
610	30051	68317
611	30093	68251
612	30133	68180
613	30202	68177
614	30275	68181
615	30325	68133
616	30362	68058
617	30406	67996
618	30449	67932
619	30495	67876
620	30541	67819
621	30593	67777
622	30630	67702
623	30666	67624
624	30706	67554
625	30783	67566
626	30834	67521
627	30880	67464
628	30927	67410
