iter	MAPE	RMSE	R2
63	0.1378790892	0.318133853	0.8975256827
64	0.1378053587	0.3175640379	0.897892441
65	0.1376270564	0.3170372738	0.8982309049
66	0.1372950835	0.3158843229	0.8989697545
67	0.1372470242	0.3156606108	0.8991128049
68	0.1369582559	0.3153125079	0.8993351941
69	0.1368945204	0.314760082	0.8996876135
70	0.1365401248	0.3136882012	0.9003696558
71	0.1360298764	0.3126906629	0.9010023035
72	0.1360294859	0.3126373918	0.9010360318
73	0.1358722706	0.3118475404	0.901535448
74	0.1358176574	0.3113818605	0.9018293014
75	0.1356869871	0.3105418947	0.9023582263
76	0.13549433	0.3102217617	0.9025594374
77	0.1354417256	0.3100118023	0.9026912891
78	0.1350283318	0.3094488309	0.9030443872
79	0.1345035631	0.3091720526	0.9032177484
80	0.1344967966	0.3091112551	0.9032558084
81	0.1343747248	0.3085295038	0.9036196133
82	0.1342075571	0.3081572433	0.9038520511
83	0.1339986487	0.3077024808	0.904135622
84	0.1339608908	0.3076039738	0.9041969917
85	0.1337559552	0.3068429825	0.9046704256
86	0.1336816679	0.306674343	0.9047751823
87	0.1334969829	0.3059363666	0.9052329259
88	0.1332854568	0.3051979792	0.9056898207
89	0.1332655541	0.305122793	0.905736282
90	0.1325986254	0.3041294666	0.9063490335
91	0.1323562703	0.3035714521	0.9066923785
92	0.1323249231	0.3030630421	0.9070046529
93	0.1321601008	0.3027079606	0.9072224399
94	0.1318338995	0.3022831179	0.9074826788
95	0.1317404801	0.3019253655	0.9077015379
96	0.1317102158	0.3014286137	0.9080050017
97	0.1315161249	0.3011562325	0.9081711863
98	0.1315026495	0.3009729391	0.9082829323
99	0.1314246164	0.300514693	0.9085620071
100	0.131426074	0.3004916671	0.9085760188
101	0.1313962591	0.3002874081	0.9087002673
102	0.1312982539	0.2997158675	0.9090474803
103	0.1312074095	0.299151206	0.9093898646
104	0.1308730423	0.2985904759	0.9097292262
105	0.130866663	0.2985097105	0.9097780541
106	0.13055945	0.2979717093	0.9101029734
107	0.1304230869	0.2976309699	0.9103084556
108	0.1303451521	0.2973562769	0.9104739375
109	0.1301408519	0.2969666348	0.9107084055
110	0.1298658672	0.2963941388	0.9110523486
111	0.1296440369	0.2957663619	0.9114287403
112	0.1296018999	0.2952729218	0.9117240284
113	0.1294920357	0.2948576603	0.9119721503
114	0.1292089273	0.2941875163	0.9123718299
115	0.1291042965	0.2939384463	0.9125201456
116	0.1288498766	0.2934486305	0.9128114536
117	0.1287071389	0.2930282849	0.9130610583
118	0.1286094567	0.2924339378	0.9134133758
119	0.1285382356	0.2920426137	0.9136449547
120	0.1285192924	0.2918927076	0.9137335845
121	0.1283781824	0.2916499282	0.9138770275
122	0.1283457493	0.2912388462	0.9141196379
123	0.1282082966	0.2905525157	0.9145239306
124	0.1279038485	0.2901483208	0.914761581
125	0.1275569443	0.2895978479	0.9150847049
126	0.127526644	0.2892594192	0.9152830557
127	0.1273799031	0.2887992556	0.9155523824
128	0.1272642466	0.2882564551	0.915869524
129	0.1272560004	0.2881775345	0.9159155852
130	0.1272106492	0.2877678371	0.9161544982
131	0.1270831341	0.2872438035	0.9164595904
132	0.1268735772	0.2864657433	0.9169115509
133	0.1267720186	0.286119377	0.9171123543
134	0.1266211139	0.2859292471	0.9172224774
135	0.1266179743	0.2858873093	0.9172467579
136	0.126475613	0.2854349704	0.9175084197
137	0.1263805136	0.2849979202	0.917760844
138	0.1262963265	0.2844893805	0.9180540712
139	0.1262266695	0.2843393157	0.9181404994
140	0.1261889766	0.2838897956	0.9183991228
141	0.1261864629	0.2838591205	0.9184167563
142	0.1261083708	0.2835506781	0.9185939573
143	0.1260571346	0.2830936659	0.9188561578
144	0.1258139467	0.2825909352	0.9191440999
145	0.1258119135	0.2825603131	0.9191616223
146	0.1257818746	0.2823006805	0.9193101119
147	0.1257379685	0.2821376665	0.9194032735
148	0.1257385292	0.2821172028	0.9194149645
149	0.1255996683	0.2817385442	0.9196311424
150	0.1253858196	0.281459288	0.9197903849
151	0.125351002	0.2811875247	0.919945203
152	0.1253378589	0.2810454214	0.9200260969
153	0.1252546859	0.280625629	0.9202648296
154	0.124834049	0.2803538038	0.9204192241
155	0.1246611548	0.2802009327	0.920505988
156	0.1246544815	0.2800884957	0.9205697728
157	0.1246226001	0.2800063008	0.9206163851
158	0.1245809032	0.279814442	0.9207251343
159	0.1245617229	0.2796356542	0.9208264075
160	0.1244612734	0.2792243714	0.9210591303
161	0.1244307409	0.2789501084	0.9212141305
162	0.1243858319	0.278697439	0.9213567924
163	0.1243414342	0.2783242561	0.9215672618
164	0.1242653397	0.2779951713	0.9217526267
165	0.1241754624	0.2776692091	0.9219360164
166	0.1240083841	0.2771525526	0.922226252
167	0.1239942659	0.2766840499	0.9224889695
168	0.1239784711	0.2765874632	0.9225430761
169	0.1239285708	0.2761591861	0.9227827641
170	0.1238504258	0.276101775	0.9228148664
171	0.1237828829	0.2756350818	0.923075577
172	0.1236903178	0.2753660871	0.9232256462
173	0.1235746757	0.2750462337	0.9234038982
174	0.1235491641	0.2748633147	0.9235057445
175	0.1235025733	0.2745772003	0.9236649125
176	0.1234212183	0.2742246479	0.9238608125
177	0.1233393141	0.2741714163	0.9238903694
178	0.1232558207	0.2737286096	0.924136016
179	0.1230521549	0.2735898025	0.9242129374
180	0.1229770317	0.2732933065	0.924377113
181	0.1229519925	0.2730655957	0.92450308
182	0.1227926245	0.2729018138	0.9245936174
183	0.1226195128	0.2727363317	0.9246850395
184	0.1225204269	0.2725811605	0.9247707148
185	0.1224659537	0.2723151568	0.9249174711
186	0.1224012174	0.2722005615	0.9249806501
187	0.1223322654	0.2717018207	0.9252553074
188	0.122289504	0.271616796	0.9253020803
189	0.122228806	0.271190815	0.9255361965
190	0.1219042342	0.2709942373	0.9256441103
191	0.1217913652	0.2708294421	0.9257345164
192	0.1216943773	0.2705609286	0.9258817042
193	0.1216571208	0.2704308571	0.9259529515
194	0.1215148687	0.270167635	0.9260970278
195	0.1214858641	0.2700193169	0.9261781488
196	0.1214068258	0.2697733546	0.9263125771
197	0.1213138827	0.2695018251	0.9264608367
198	0.1212700349	0.2692401145	0.9266035937
199	0.1211908968	0.2690998907	0.9266800254
200	0.1211675008	0.2689534144	0.9267598226
201	0.1211138211	0.2688793416	0.9268001594
202	0.1210926558	0.2687100636	0.9268922991
203	0.1209683194	0.2685303938	0.9269900316
204	0.1209290473	0.2684013222	0.9270602005
205	0.1208411654	0.268255289	0.9271395499
206	0.1207800366	0.2682213929	0.9271579617
207	0.1207551825	0.2680797662	0.9272348657
208	0.1205209583	0.2677623158	0.9274070954
209	0.1204888769	0.2676736881	0.927455143
210	0.1204561194	0.2673610158	0.9276245248
211	0.120449848	0.2671167445	0.9277567144
212	0.1204437879	0.2668757287	0.9278870238
213	0.1203916277	0.2665461062	0.9280650497
214	0.1200026965	0.2662508481	0.9282243287
215	0.1199078593	0.2658688178	0.9284301557
216	0.1198902684	0.2657616517	0.9284878407
217	0.1198826642	0.2655277561	0.9286136604
218	0.1198658104	0.2654736982	0.928642724
219	0.1197595395	0.2653815891	0.9286922319
220	0.1196891067	0.2651621997	0.9288100825
221	0.1196549686	0.2649565961	0.9289204394
222	0.1193305722	0.264608789	0.9291069284
223	0.1191948521	0.2644783035	0.9291768296
224	0.1191521243	0.2642082421	0.9293213922
225	0.1191491619	0.2639897823	0.9294382247
226	0.1190700395	0.2638352762	0.9295207963
227	0.1188287741	0.2635996683	0.9296466176
228	0.1188109365	0.2633727101	0.9297677134
229	0.118750374	0.2631443741	0.929889439
230	0.1187344109	0.2630097742	0.9299611447
231	0.1186042753	0.2628359822	0.9300536748
232	0.1185932291	0.2625441872	0.9302088945
233	0.1184671804	0.2623995271	0.9302857822
234	0.1184618	0.2623759617	0.9302983033
235	0.1184557645	0.2623106391	0.9303330056
236	0.1184124899	0.2622420305	0.9303694443
237	0.1183790617	0.2621471041	0.930419845
238	0.118341472	0.2619483232	0.9305253274
239	0.1182848835	0.2616751835	0.9306701377
240	0.1180531275	0.2614187696	0.9308059429
241	0.1179145879	0.2612668874	0.9308863219
242	0.1178816773	0.2611631438	0.9309411982
243	0.1178394097	0.2608865964	0.9310873744
244	0.1177795889	0.2607091951	0.9311810629
245	0.1177517764	0.2606165806	0.9312299488
246	0.1176391058	0.2604937441	0.9312947603
247	0.1175300286	0.2604001483	0.9313441233
248	0.11752456	0.2602065942	0.9314461484
249	0.1175203736	0.2600241272	0.93154226
250	0.1174912296	0.2598028238	0.9316587375
251	0.1174856694	0.2596006685	0.9317650503
252	0.117454231	0.2595121186	0.9318115922
253	0.1173012769	0.2593837059	0.931879058
254	0.1172931667	0.2591936821	0.9319788319
255	0.1172892665	0.259173599	0.9319893724
256	0.1172644107	0.2588952081	0.932135401
257	0.1172537866	0.2588542198	0.9321568879
258	0.1172328286	0.2586991973	0.9322381233
259	0.1172113589	0.2585783442	0.9323014194
260	0.117187235	0.258507215	0.932338659
261	0.117148696	0.2582605171	0.9324677382
262	0.1171454427	0.2582421338	0.9324773519
263	0.117101712	0.25809987	0.9325517269
264	0.1170183291	0.2579195338	0.9326459472
265	0.1170113128	0.2577527204	0.9327330435
266	0.116955261	0.2574304414	0.9329011517
267	0.1168952205	0.2572033785	0.9330194667
268	0.1168765945	0.2571144867	0.9330657569
269	0.1168655702	0.2570580494	0.9330951381
270	0.116844922	0.2568115968	0.9332233658
271	0.1168443383	0.2566810321	0.9332912479
272	0.1168180639	0.2564483061	0.9334121592
273	0.1167670034	0.2563132789	0.9334822615
274	0.1166034393	0.2560028304	0.9336432974
275	0.1166030989	0.2559715972	0.9336594879
276	0.1165007086	0.2557024179	0.9337989417
277	0.1164707669	0.2556620259	0.9338198549
278	0.1164405328	0.2555815511	0.9338615114
279	0.1163729894	0.2554049494	0.9339528806
280	0.1163323732	0.2553219326	0.9339958095
281	0.1162967102	0.255208305	0.934054545
282	0.1162861835	0.2551357517	0.934092035
283	0.1162342906	0.2550014117	0.9341614235
284	0.1162325123	0.2548800708	0.9342240664
285	0.1160737758	0.2545557809	0.9343913364
286	0.1160228172	0.2542795945	0.9345336266
287	0.1160070705	0.2540726493	0.9346401427
288	0.1160038922	0.2540295025	0.9346623397
289	0.1159377482	0.2538446066	0.9347574174
290	0.1158581801	0.2533912678	0.9349902416
291	0.1158510148	0.2533476138	0.9350126393
292	0.115696746	0.2530638495	0.9351581372
293	0.1155394468	0.2529321172	0.9352256264
294	0.1154735694	0.2526737054	0.9353579142
295	0.1153741955	0.2524116921	0.9354919076
296	0.1153197771	0.2523227273	0.9355373725
297	0.115315712	0.2521919799	0.9356041611
298	0.1153121635	0.2521414239	0.9356299769
299	0.1152981974	0.2519835131	0.9357105788
300	0.1152846445	0.2517662813	0.9358213772
301	0.1152725293	0.2517211648	0.9358443767
302	0.1152109402	0.2516409471	0.9358852601
303	0.1151590702	0.2513863898	0.93601491
304	0.115149545	0.2512562104	0.9360811616
305	0.1150995164	0.251171349	0.9361243314
306	0.1150797175	0.2509675778	0.9362279319
307	0.1150546467	0.2506282682	0.9364002557
308	0.1150374035	0.2505173384	0.9364565426
309	0.1150062969	0.2504287139	0.9365014937
310	0.1150101281	0.2504193422	0.9365062462
311	0.1149449921	0.2502630031	0.9365855009
312	0.1149372577	0.2501980533	0.9366184121
313	0.1149333046	0.2501850062	0.9366250222
314	0.1149323997	0.2500503263	0.9366932361
315	0.1149243662	0.2499335551	0.9367523496
316	0.1149188362	0.2498271562	0.9368061883
317	0.114901096	0.2497543829	0.9368429989
318	0.1147901084	0.2494485674	0.9369975713
319	0.1147679865	0.2493773467	0.9370335422
320	0.1147383517	0.2491465516	0.9371500373
321	0.1147363847	0.2491092031	0.937168879
322	0.1145970079	0.2489614226	0.9372434043
323	0.1145778381	0.2486508642	0.9373998737
324	0.1145390892	0.2485711654	0.9374399971
325	0.1145199065	0.2484856343	0.9374830424
326	0.1144879984	0.2483651825	0.9375436371
327	0.1144821246	0.2483101717	0.9375713011
328	0.114470837	0.2482557099	0.9375986831
329	0.1144672363	0.2482076899	0.9376228212
330	0.1144650754	0.2481133513	0.9376702288
331	0.114380375	0.2479519266	0.937751307
332	0.1143736794	0.2479014655	0.9377766411
333	0.114335811	0.2478604369	0.9377972357
334	0.1142617075	0.2477076946	0.9378738762
335	0.1142500443	0.2475365829	0.9379596776
336	0.11423321	0.2473743256	0.9380409843
337	0.1141901044	0.2472401373	0.9381081855
338	0.1141832647	0.2472068194	0.9381248654
339	0.114181995	0.2471648176	0.9381458894
340	0.114136682	0.2470246689	0.9382160152
341	0.1140845479	0.2469198922	0.9382684161
342	0.1140789312	0.2468687275	0.9382939964
343	0.1140677569	0.2466929845	0.9383818207
344	0.1140014678	0.2465224562	0.9384669793
345	0.1139883862	0.2463955312	0.938530325
346	0.1139538114	0.2463078574	0.9385740622
347	0.113845133	0.2461934638	0.9386311055
348	0.1137488184	0.2460500173	0.9387025987
349	0.1137259398	0.2459414512	0.93875668
350	0.1136998495	0.2458467443	0.938803838
351	0.1136149172	0.2457580405	0.9388479903
352	0.1135145417	0.2454973535	0.9389776551
353	0.1134140237	0.2454115861	0.9390202853
354	0.1133858549	0.2452086192	0.9391211098
355	0.1133804541	0.245183577	0.9391335438
356	0.1133559183	0.2450958999	0.9391770675
357	0.1133462271	0.2450484904	0.9392005954
358	0.1133463055	0.2450129898	0.9392182104
359	0.1133228871	0.2449326892	0.9392580452
360	0.1133087281	0.2449108368	0.9392688832
361	0.11323723	0.2446204046	0.9394128361
362	0.1130980129	0.2444673623	0.9394886229
363	0.1130991097	0.2444363757	0.9395039618
364	0.1130991533	0.2444361788	0.9395040592
365	0.1130202506	0.244347795	0.9395477999
366	0.1129528021	0.2441927389	0.939624498
367	0.112932489	0.2441152702	0.9396627994
368	0.112931078	0.2440654489	0.9396874253
369	0.1129111509	0.2438390247	0.9397992796
370	0.1128542087	0.2436210722	0.9399068509
371	0.1128329507	0.2435686499	0.9399327097
372	0.1127558257	0.2434828776	0.9399750075
373	0.1126505761	0.2433154606	0.9400575245
374	0.1125916368	0.2432442822	0.94009259
375	0.1125659264	0.2431963237	0.9401162106
376	0.112493025	0.2430141295	0.9402059027
377	0.112476536	0.2428915664	0.9402662013
378	0.1123753598	0.2427849702	0.9403186197
379	0.1123729876	0.242778179	0.9403219585
380	0.1123319879	0.2426892037	0.9403656931
381	0.1123293918	0.2426833864	0.9403685519
382	0.1122404299	0.2426099758	0.9404046229
383	0.1122301282	0.2423670957	0.9405238866
384	0.1122225122	0.2423453121	0.9405345774
385	0.1121866827	0.2422500381	0.9405813239
386	0.1121656011	0.242208953	0.9406014768
387	0.1121585775	0.242076002	0.9406666678
388	0.1121362934	0.241933818	0.9407363465
389	0.1121182061	0.2417394238	0.9408315451
390	0.1120649281	0.2416518903	0.940874387
391	0.1119707054	0.2415504213	0.94092403
392	0.1119560668	0.2415319591	0.9409330602
393	0.1119497759	0.2414135336	0.9409909682
394	0.1119377132	0.2413973266	0.9409988909
395	0.111937819	0.2413672549	0.94101359
396	0.1119275674	0.2412467991	0.9410724503
397	0.1118930556	0.2410546963	0.94116626
398	0.1118932386	0.2410281372	0.9411792237
399	0.1118682063	0.2409618749	0.9412115607
400	0.1118534379	0.2409408783	0.9412218055
401	0.1118475209	0.2409338604	0.9412252296
402	0.1118237549	0.2408528143	0.9412647646
403	0.111809263	0.2408069133	0.9412871496
404	0.1117710448	0.2407324546	0.9413234527
405	0.111747896	0.2405916417	0.9413920765
406	0.1117153189	0.2405217398	0.9414261277
407	0.1117097258	0.2404967267	0.9414383098
408	0.1116052066	0.2402665652	0.9415503462
409	0.111598617	0.2402583863	0.9415543256
410	0.1116011873	0.2402263019	0.9415699343
411	0.111597604	0.2402121791	0.9415768043
412	0.1115899693	0.2401890306	0.9415880638
413	0.1115396994	0.2400542052	0.9416536223
414	0.1115407084	0.240031082	0.9416648621
415	0.1115300739	0.2399781075	0.9416906083
416	0.1114829119	0.2397160918	0.9418178668
417	0.1114860715	0.2396957049	0.9418277627
418	0.1114728594	0.2396037278	0.9418723984
419	0.1114636349	0.2394932035	0.9419260121
420	0.1114536862	0.2394587892	0.941942701
421	0.1114458441	0.2394272935	0.9419579724
422	0.1114237409	0.2393473822	0.9419967101
423	0.1114146096	0.2392503242	0.9420437425
424	0.1114142035	0.2392498053	0.942043994
425	0.1113933792	0.2391913755	0.9420722986
426	0.1113663563	0.2391384231	0.942097944
427	0.1113529709	0.2390942035	0.9421193556
428	0.1113516558	0.2390915422	0.9421206441
429	0.1113452792	0.2390737165	0.9421292742
430	0.1112849574	0.2390289983	0.9421509214
431	0.1111831353	0.2388288311	0.9422477686
432	0.1111216231	0.2384279858	0.9424414661
433	0.1111103444	0.2383169755	0.9424950513
434	0.1110934699	0.2381180492	0.9425910115
435	0.1110922569	0.2380665279	0.9426158519
436	0.1110739975	0.238039444	0.9426289078
437	0.1110690497	0.2379925175	0.9426515256
438	0.1110419459	0.2379300599	0.9426816222
439	0.1110316328	0.2378993472	0.9426964189
440	0.1110028244	0.2377619661	0.9427625826
441	0.1110007632	0.237758546	0.9427642293
442	0.110992097	0.2376553141	0.9428139207
443	0.1108754693	0.2375570761	0.9428611881
444	0.1108725578	0.2375493131	0.9428649225
445	0.1108694437	0.2374962736	0.9428904336
446	0.1108519173	0.237453035	0.9429112265
447	0.1108461893	0.237425273	0.9429245748
448	0.1108069632	0.2373295889	0.9429705692
449	0.1107767572	0.2372520593	0.9430078233
450	0.1107707295	0.2372206828	0.9430228967
451	0.110770667	0.2372202363	0.9430231111
452	0.110692951	0.2371198155	0.9430713402
453	0.1106850363	0.2370680084	0.9430962136
454	0.1106822429	0.2370627993	0.9430987143
455	0.1106762722	0.2369700205	0.9431432442
456	0.1106280457	0.2367567689	0.9432455301
457	0.1106168067	0.2366570597	0.9432933239
458	0.1106094412	0.2363502188	0.9434402762
459	0.1105751606	0.2362842971	0.9434718225
460	0.1105659997	0.2361725631	0.9435252719
461	0.1105560663	0.2360791086	0.9435699576
462	0.1105475401	0.235991349	0.9436119042
463	0.1104420689	0.2357713933	0.9437169683
464	0.1104244183	0.2356594562	0.9437703986
465	0.1104259705	0.2356419884	0.943778734
466	0.1104034933	0.2355957413	0.9438007999
467	0.1104015013	0.2355392449	0.94382775
468	0.1103481164	0.2353576954	0.9439143098
469	0.1103012049	0.2353053816	0.9439392398
470	0.1102904328	0.2352000886	0.9439894
471	0.1102549177	0.2350192256	0.9440755084
472	0.1102447048	0.234996037	0.9440865436
473	0.1102391541	0.2349429544	0.944111801
474	0.1102340227	0.2349368434	0.9441147083
475	0.1101213159	0.2347575119	0.9441999923
476	0.1101152131	0.2346887512	0.9442326753
477	0.1101019533	0.2346170834	0.9442667298
478	0.1100945243	0.2345413169	0.9443027207
479	0.1100478727	0.2344428028	0.9443494998
480	0.1100057649	0.2343360499	0.9444001688
481	0.1099464227	0.234294104	0.9444200716
482	0.1099322088	0.2342615373	0.9444355217
483	0.1099008392	0.2342301465	0.9444504119
484	0.1098647975	0.234082918	0.9445202228
485	0.1098246179	0.2340226167	0.9445488031
486	0.1098233735	0.2339849151	0.9445666682
487	0.1098117319	0.2338132685	0.9446479679
488	0.1097678008	0.2336763596	0.9447127715
489	0.1097693479	0.2336032927	0.944747341
490	0.1097004612	0.2334748584	0.9448080798
491	0.1096902588	0.2333392189	0.9448721897
492	0.1096824269	0.233248202	0.9449151879
493	0.109619792	0.2330757979	0.9449965891
494	0.1096067989	0.2329840595	0.9450398791
495	0.1095876461	0.2329096823	0.9450749641
496	0.1095801524	0.2328821485	0.9450879495
497	0.1095702761	0.2328552906	0.9451006146
498	0.1095603276	0.2328311745	0.9451119855
499	0.1094880942	0.2326387822	0.9452026578
500	0.1094311251	0.2323989692	0.945315574
501	0.1093638533	0.2323328366	0.9453466921
502	0.1093063263	0.2320959117	0.9454581024
503	0.1092450003	0.2319934379	0.9455062538
504	0.1092328531	0.2319340502	0.9455341498
505	0.109202411	0.2318380103	0.9455792472
506	0.109193352	0.2318037239	0.9455953425
507	0.1091769915	0.2317168603	0.9456361089
508	0.1091512786	0.2316290278	0.9456773145
509	0.1091382339	0.231211442	0.9458730062
510	0.1091349917	0.2311585559	0.9458977648
511	0.1090988349	0.2308752694	0.9460302889
512	0.1090666253	0.2307939524	0.9460682997
513	0.1090213467	0.2307213823	0.9461022106
514	0.1090116029	0.2305742256	0.9461709419
515	0.1089844414	0.2304924783	0.9462091041
516	0.1089569367	0.2304388669	0.9462341241
517	0.1089544348	0.2304345043	0.9462361598
518	0.1089488719	0.2303356725	0.9462822678
519	0.1089275674	0.2302835135	0.9463065936
520	0.1089022877	0.2302264152	0.9463332167
521	0.1088533134	0.2301046513	0.946389969
522	0.1088256989	0.2298655484	0.9465013241
523	0.1088010447	0.2298248837	0.9465202509
524	0.1087558224	0.2296965732	0.9465799494
525	0.1087465619	0.2296400284	0.9466062472
526	0.1087457289	0.2296318086	0.9466100695
527	0.1087164032	0.2295761933	0.9466359277
528	0.1087037164	0.2294742849	0.9466832936
529	0.1086975237	0.2294219091	0.9467076291
530	0.1086707281	0.2293345734	0.9467481958
531	0.108664173	0.2293094055	0.9467598831
532	0.1086495485	0.2292813015	0.9467729325
533	0.1086378817	0.2292486905	0.9467880725
534	0.1086347817	0.2291966292	0.9468122382
535	0.1086189833	0.2291537874	0.9468321202
536	0.1086142974	0.2291404601	0.9468383044
537	0.108596344	0.2290655891	0.9468730396
538	0.1085385249	0.2289681241	0.9469182398
539	0.1085166767	0.2288568753	0.9469698091
540	0.1084597422	0.228725068	0.9470308756
541	0.1084348072	0.2286028165	0.9470874835
542	0.1084251582	0.2285774652	0.9470992185
543	0.1084059673	0.2285048593	0.9471328202
544	0.108398049	0.2284513398	0.947157582
545	0.108342091	0.2283483013	0.9472052383
546	0.1083055264	0.2282742238	0.9472394867
547	0.1083036522	0.2282705364	0.9472411911
548	0.1082625414	0.2282247027	0.9472623756
549	0.1082189527	0.2281276449	0.9473072218
550	0.1081601799	0.2280363438	0.9473493907
551	0.1081293718	0.2279998582	0.9473662374
552	0.1081266012	0.2279966219	0.9473677316
553	0.1081255926	0.2279961654	0.9473679424
554	0.1081146687	0.2279675695	0.9473811441
555	0.1081041758	0.2279397798	0.947393972
556	0.1081045398	0.2279329467	0.947397126
557	0.108095835	0.2279248175	0.9474008781
558	0.1080822643	0.2278956547	0.9474143372
559	0.1080774213	0.2278462468	0.9474371359
560	0.1080265895	0.2277759221	0.947469578
561	0.1080045623	0.2277197689	0.9474954752
562	0.1079777583	0.227659647	0.9475231958
563	0.1079770081	0.227659271	0.9475233691
564	0.1079455234	0.227609588	0.947546271
565	0.1079409255	0.2275922405	0.9475542663
566	0.1079159181	0.2275427985	0.9475770504
567	0.1078640403	0.2274322694	0.947627967
568	0.1078501898	0.2273714137	0.9476559904
569	0.1078460921	0.2273253761	0.9476771852
570	0.1078386348	0.2273068574	0.9476857096
571	0.1078090852	0.227220531	0.9477254378
572	0.1078055882	0.2272093154	0.9477305982
573	0.1077508913	0.2270729799	0.9477933073
574	0.1077422565	0.2269873857	0.947832658
575	0.1077163986	0.2269164468	0.94786526
576	0.1076900373	0.226814752	0.9479119789
577	0.107677639	0.226777871	0.947928917
578	0.1076664009	0.2267416397	0.947945554
579	0.1076577241	0.2267075603	0.9479612004
580	0.1076476076	0.2266694201	0.9479787085
581	0.1076370149	0.2266513945	0.947986982
582	0.1076159623	0.2265839502	0.9480179323
583	0.1076104762	0.2265138252	0.9480501029
584	0.1076080822	0.2264840712	0.9480637499
585	0.1075553572	0.2263202367	0.9481388623
586	0.1075506572	0.2262732565	0.948160391
587	0.1075300297	0.2261718804	0.9482068315
588	0.1075151329	0.2260598407	0.9482581327
589	0.1074828874	0.22599115	0.9482895726
590	0.1074789665	0.2259494558	0.9483086514
591	0.1074422669	0.225875306	0.948342573
592	0.1074030657	0.2258022345	0.9483759903
593	0.1073690022	0.2257519153	0.9483989962
594	0.107359654	0.2257255356	0.9484110549
595	0.1073147434	0.2255992695	0.9484687543
596	0.1072738002	0.2254970654	0.9485154345
597	0.1072350394	0.2253643749	0.9485760074
598	0.1072300101	0.22534859	0.9485832108
599	0.1072294282	0.2253461213	0.9485843373
600	0.1071912945	0.2252536612	0.9486265206
601	0.1071693435	0.2251219067	0.9486866014
602	0.1071612579	0.2250856424	0.948703132
603	0.107147985	0.2250459284	0.9487212319
604	0.107145425	0.2250309166	0.9487280729
605	0.1071454155	0.2250286406	0.94872911
606	0.1071392223	0.2249985908	0.9487428023
607	0.1070898405	0.2247522291	0.9488549888
608	0.1070276192	0.2246390114	0.9489065038
609	0.1070223213	0.2246247446	0.9489129935
610	0.106994597	0.2245273313	0.9489572938
611	0.1069908652	0.2244763451	0.948980473
612	0.1069546828	0.2243863125	0.9490213904
613	0.1069393151	0.2243341556	0.9490450869
614	0.1069381107	0.2243298279	0.9490470528
