,Count
Audi,11336
BMW,15609
Chery,3786
Chevrolet,16524
Citroen,2930
Daewoo,5514
Datsun,1818
Dodge,1010
Fiat,1136
Ford,14988
Geely,2446
Great Wall,1320
Honda,6411
Hyundai,22200
Infiniti,1970
Kia,18958
LADA (ВАЗ),82659
Land Rover,4081
Lexus,3326
Lifan,2896
Mazda,9239
Mercedes-Benz,21892
Mitsubishi,12625
Nissan,20828
Opel,11427
Peugeot,5601
Porsche,1594
Renault,16074
Skoda,9113
SsangYong,2174
Subaru,3034
Suzuki,3421
Toyota,24455
Volkswagen,20265
Volvo,3786
ГАЗ,5035
ЗАЗ,1609
УАЗ,6037
